n_offset_hours,model,split,best_val_macro_auroc_difference_all_minus_explicit,macro_auroc_difference_all_minus_explicit,macro_auprc_difference_all_minus_explicit,micro_auroc_difference_all_minus_explicit,micro_auprc_difference_all_minus_explicit,pneumonia_auroc_difference_all_minus_explicit,pneumonia_auprc_difference_all_minus_explicit,pneumonia_prevalence_difference_all_minus_explicit,consolidation_auroc_difference_all_minus_explicit,consolidation_auprc_difference_all_minus_explicit,consolidation_prevalence_difference_all_minus_explicit,lung_opacity_auroc_difference_all_minus_explicit,lung_opacity_auprc_difference_all_minus_explicit,lung_opacity_prevalence_difference_all_minus_explicit,pneumothorax_auroc_difference_all_minus_explicit,pneumothorax_auprc_difference_all_minus_explicit,pneumothorax_prevalence_difference_all_minus_explicit,pleural_effusion_auroc_difference_all_minus_explicit,pleural_effusion_auprc_difference_all_minus_explicit,pleural_effusion_prevalence_difference_all_minus_explicit,pulmonary_edema_auroc_difference_all_minus_explicit,pulmonary_edema_auprc_difference_all_minus_explicit,pulmonary_edema_prevalence_difference_all_minus_explicit
4,latest_mlp,test,0.02307302252167942,-0.012916977899191662,-0.44699347467891765,-0.007377695614222968,-0.4690842073232215,-0.0628368603320909,-0.46125376957703945,-0.3554349566305819,-0.040429441523353704,-0.7258115490362991,-0.6445835964597618,-0.021015210577794874,-0.6291306471300675,-0.681920194758264,-0.009660791725869422,-0.12478497966221042,-0.1050993817588658,0.022145856893622806,-0.3342102519382698,-0.3641671149801927,0.03429457987033646,-0.40676965072961974,-0.391164591630229
6,single_mlp,val,-0.02198497557656498,-0.02198497557656498,-0.4370991017282003,-0.02145754066164296,-0.44026997135987955,-0.037797273710394874,-0.43378307830942,-0.3752725704438522,-0.10981209340451603,-0.7475913051361945,-0.669159314925151,0.008613754286901809,-0.6222161367467749,-0.6702472296458329,0.015368030805463673,-0.11146951397459191,-0.09867235086875939,-0.0213214374750057,-0.33509404529077685,-0.33329802949313514,0.013039166038161576,-0.3724405309114433,-0.3646861979790241
6,single_mlp,test,-0.02198497557656498,-0.01771291733867919,-0.4347476844150209,-0.03279499831259969,-0.4516330515818857,-0.044253099213574565,-0.43619622723506485,-0.35960389286165567,-0.0034442516717160254,-0.6987658150871535,-0.6478818050748264,-0.024780900677311757,-0.6279651059649825,-0.654625918910524,-0.003047123241275762,-0.11475166211832569,-0.09376076461998299,-0.0180266070292312,-0.3252261273502213,-0.33598105250458704,-0.012725522198965722,-0.40558116873437705,-0.37222053078235773
6,sequence_attention,val,-0.016397224128579024,-0.016397224128579024,-0.44183329101033675,-0.07617289652752834,-0.4701732018640534,-0.02814527912705378,-0.4257436864688148,-0.3758634573897711,-0.1477454903233889,-0.7761021917106041,-0.6640982121320869,0.05950764079194382,-0.6213078131179044,-0.6702349829710695,0.008905657894799024,-0.1285389069080565,-0.10416599981526309,0.012643018169681164,-0.324904445660028,-0.3343447363944013,-0.003548892177455687,-0.3744027021966139,-0.3639968296058166
6,sequence_attention,test,-0.016397224128579024,-0.003698257631964408,-0.42415309186028877,-0.07641668746930563,-0.47562512768513354,-0.01302089714220167,-0.4163481670498189,-0.3524869345290593,-0.003328685619987115,-0.689586139840476,-0.6541194247831638,-0.035027874672978854,-0.6273807548074655,-0.6542498179966192,0.024055119200477537,-0.10253448716450529,-0.10206936462614069,0.0015093367969228888,-0.31116728068815414,-0.3383355607883069,0.0036234556459803224,-0.3979017216113132,-0.3742090897532658
6,latest_mlp,val,-0.012850659613206528,-0.012850659613206528,-0.4419600420950669,-0.04275272381005213,-0.44892343748477737,-0.04182620582398977,-0.4499187102471632,-0.3758634573897711,-0.0989830320943057,-0.7417268816156959,-0.6640982121320869,0.10205065089807147,-0.6149585901371184,-0.6702349829710695,-0.029767204992977137,-0.1388253483616404,-0.10416599981526309,-0.020535780160324202,-0.33360625399519406,-0.3343447363944013,0.011957614494285451,-0.3727244682135897,-0.3639968296058166
6,latest_mlp,test,-0.012850659613206528,-0.010273202993483443,-0.4299967352965586,-0.04665650485010686,-0.4541674638461527,-0.04089609528684479,-0.42991838934178045,-0.3524869345290593,0.002933091142235611,-0.701906703032861,-0.6541194247831638,-0.013041470235324204,-0.609952795900247,-0.6542498179966192,0.01997253204751448,-0.10680477388586829,-0.10206936462614069,-0.022005394637828024,-0.31996880849085774,-0.3383355607883069,-0.008601880990653288,-0.411428941127737,-0.3742090897532658
8,single_mlp,val,-0.034796566882088986,-0.034796566882088986,-0.4452241906316926,-0.07625047351122938,-0.47927808719196663,-0.045339000562766074,-0.46785604718205,-0.3721540268396359,-0.11374326962562253,-0.7563543388514039,-0.6733666095332431,-0.027137121986347656,-0.6450659770834151,-0.6712441120474838,0.009584523577792936,-0.1165358829521444,-0.0948030160097785,-0.022995372790912016,-0.31617226461137754,-0.3246531495953514,-0.009149159904678683,-0.36936063310976336,-0.3630069654872628
8,single_mlp,test,-0.034796566882088986,-0.01486418409448964,-0.4326481087672298,-0.07405168511239923,-0.48373428638489346,-0.015193274423779823,-0.41075782190866694,-0.3754196933010493,-0.030015171239487826,-0.7314766451454608,-0.6505882352941177,-0.009461537653628449,-0.6259615834508736,-0.6540703721761743,-0.009193543684987149,-0.10599149106729042,-0.09034583394133959,-0.02023094093005151,-0.32215557371979275,-0.3307843137254902,-0.0050906366350035315,-0.39954553731129416,-0.3737835353397795
8,sequence_attention,val,-0.027440945349731738,-0.027440945349731738,-0.4381594049120953,-0.046944958905610124,-0.42437378928635766,-0.048683579974170166,-0.4753969084496356,-0.37166329324919645,-0.1284090152015479,-0.7526584155379012,-0.667248032228577,-0.010736474525304907,-0.630714310040622,-0.6665656040656041,0.015020082047461414,-0.1037053073750514,-0.1010772108624137,-0.0007292486138748,-0.30058959234685184,-0.32417799855403845,0.008892564169046269,-0.36589189572251024,-0.3583146284473718
