case,n,target_window,epochs_ran,best_epoch,first_train_loss,best_epoch_train_loss,last_train_loss,first_train_batch_R@1,best_epoch_train_batch_R@1,last_train_batch_R@1,first_train_batch_R@5,best_epoch_train_batch_R@5,last_train_batch_R@5,first_val_R@1,best_val_R@1,last_val_R@1,first_val_R@5,best_val_R@5,last_val_R@5,first_val_R@10,best_val_R@10,last_val_R@10,first_val_MRR,best_val_MRR,last_val_MRR,best_val_MedR,last_val_MedR,val_MRR_gain_first_to_best,val_MRR_drop_best_to_last,train_R@1_gain_first_to_last,result_path
case2,8,"[t2-8-12h, t2-8]",20,13,6.597915010452271,5.353693933486938,4.706978454589843,0.002018229166666667,0.04571614583333333,0.10268229166666666,0.010520833333333333,0.149375,0.27401041666666665,0.0008237232289950577,0.006177924217462933,0.004942339373970346,0.0037067545304777594,0.02512355848434926,0.019357495881383854,0.009060955518945634,0.044892915980230645,0.03830313014827018,0.0062945295155987305,0.022345439439365577,0.019157435003875997,363.0,387.0,0.016050909923766846,0.0031880044354895797,0.1006640625,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n8/case2_sequence_ecg_cross_n8/results.json
case2,10,"[t2-10-12h, t2-10]",21,14,6.602895050048828,5.263446626663208,4.583962187767029,0.0019270833333333334,0.05265625,0.11760416666666666,0.010690104166666667,0.1653125,0.30376302083333334,0.0012412081092263137,0.006206040546131568,0.004964832436905255,0.007447248655357882,0.026065370293752586,0.018204385601985933,0.012825817128671908,0.04054613156805958,0.032685146876292925,0.008003796134748239,0.02232623318812554,0.018758106177198103,375.0,418.0,0.014322437053377301,0.003568127010927437,0.11567708333333333,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n10/case2_sequence_ecg_cross_n10/results.json
case2,12,"[t2-12-12h, t2-12]",19,12,6.611183438301087,5.499013843536377,4.893523650169373,0.0019270833333333334,0.03658854166666667,0.08184895833333333,0.010221354166666667,0.12345052083333333,0.23454427083333335,0.0008654262224145391,0.006057983556901774,0.0038944180008654264,0.0073561228905235825,0.0199048031155344,0.02077022933794894,0.013846819558632626,0.039376893119861534,0.03504976200778884,0.00781225141289002,0.020967742884958753,0.017911617858202673,342.0,381.0,0.013155491472068733,0.00305612502675608,0.079921875,7.16/cross_patient_huge_batch_mild_antioverfit/case2_sequence_ecg_n12/case2_sequence_ecg_cross_n12/results.json
case3,0,"[t2-0-12h, t2-0]",59,52,6.488512043952942,5.296992049217224,5.268641109466553,0.0036197916666666666,0.044895833333333336,0.04729166666666667,0.017890625,0.15024739583333332,0.15447916666666667,0.0013704888076747374,0.0046596619460941065,0.0047510278666057565,0.003746002740977615,0.018090452261306532,0.017633622658748287,0.007400639561443581,0.0317953403380539,0.030333485609867518,0.00452685705600516,0.01611335149225079,0.015915601113877555,704.0,684.0,0.01158649443624563,0.00019775037837323553,0.043671875000000006,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n0/case3_nearest_ecg_cross_n0/results.json
case3,2,"[t2-2-12h, t2-2]",36,29,6.474229435920716,5.364114484786987,5.277211050987244,0.003841145833333333,0.04095052083333333,0.046861979166666665,0.018671875,0.1401171875,0.15388020833333332,0.001021659174499387,0.006538618716796077,0.005516959542296689,0.005721291377196567,0.025337147527584796,0.023906824683285657,0.011851246424192888,0.04331834899877401,0.043114017163874134,0.0068590193179049455,0.022163618161792152,0.02105629295627581,401.0,382.0,0.015304598843887206,0.0011073252055163428,0.043020833333333335,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n2/case3_nearest_ecg_cross_n2/results.json
case3,4,"[t2-4-12h, t2-4]",26,19,6.491124234199524,5.488064589500428,5.3375757741928105,0.0037760416666666667,0.041328125,0.051328125,0.0186328125,0.13481770833333334,0.16147135416666666,0.0019973368841544607,0.009653794940079893,0.006990679094540613,0.011318242343541944,0.03195739014647137,0.031291611185086554,0.020639147802929428,0.05126498002663116,0.05226364846870839,0.010921070162194669,0.027809391616346664,0.02600191634715652,332.0,321.0,0.016888321454151995,0.0018074752691901452,0.047552083333333335,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n4/case3_nearest_ecg_cross_n4/results.json
case3,6,"[t2-6-12h, t2-6]",30,23,6.507786750793457,5.360696244239807,5.210122075080871,0.0037239583333333335,0.055052083333333335,0.06846354166666667,0.019088541666666667,0.16485677083333333,0.19272135416666666,0.0007939658594680428,0.0059547439460103215,0.005160778086542279,0.008733624454148471,0.029773719730051607,0.025803890432711394,0.0166732830488289,0.04962286621675268,0.04962286621675268,0.009570282636156524,0.02419478597446273,0.023120287695438918,304.0,299.0,0.014624503338306205,0.0010744982790238111,0.06473958333333334,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n6/case3_nearest_ecg_cross_n6/results.json
case3,8,"[t2-8-12h, t2-8]",41,34,6.511459956169128,5.100569143295288,4.929396114349365,0.00390625,0.077109375,0.09774739583333333,0.018489583333333334,0.2158984375,0.25540364583333336,0.0032948929159802307,0.008237232289950576,0.007413509060955519,0.011943986820428337,0.03212520593080725,0.030065897858319604,0.021004942339373972,0.06013179571663921,0.05271828665568369,0.01287909036524309,0.028125407838090005,0.025898103561565133,300.0,318.0,0.015246317472846915,0.002227304276524872,0.09384114583333333,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n8/case3_nearest_ecg_cross_n8/results.json
case3,10,"[t2-10-12h, t2-10]",39,32,6.510783448219299,5.117051196098328,4.957426748275757,0.004453125,0.0747265625,0.09118489583333333,0.018776041666666667,0.20927083333333332,0.24514322916666667,0.0033098882912701694,0.007860984691766652,0.005792304509722797,0.012412081092263137,0.033512618949110465,0.031857674803475386,0.024824162184526273,0.05130326851468763,0.05213074058750517,0.012459320017110795,0.027145697199348024,0.024798071837111236,313.0,312.0,0.01468637718223723,0.002347625362236788,0.08673177083333333,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n10/case3_nearest_ecg_cross_n10/results.json
case3,12,"[t2-12-12h, t2-12]",36,29,6.513271837234497,5.196557292938232,5.030738105773926,0.003880208333333333,0.06998697916666667,0.08463541666666667,0.018033854166666665,0.19697916666666668,0.23165364583333334,0.0025962786672436176,0.008221549112938122,0.005625270445694505,0.009086975335352661,0.03202077022933795,0.03288619645175249,0.01730852444829078,0.050194720900043274,0.05062743401125054,0.011010591707471581,0.026599361778542666,0.025130418209626262,310.0,310.0,0.015588770071071085,0.001468943568916404,0.08075520833333334,7.16/cross_patient_huge_batch_mild_antioverfit/case3_nearest_ecg_n12/case3_nearest_ecg_cross_n12/results.json
