n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
6,sequence_attention,8,0.585178381119012,11662,2537,2481,7137,1541,1516,val,0.585178381119012,0.2228884716824104,0.6146423144704068,0.22575598276487654,0.5349853758232386,0.09971251464941178,0.0843515963736697,0.5536600882943374,0.09188631237990634,0.07843910130074892,0.5654905467748498,0.33646209342154143,0.28182893180922347,0.5732185731435431,0.06442477953446132,0.05360662199448167,0.640833545108005,0.4262473285830313,0.3102089081592432,0.6428821575700977,0.3185978015261101,0.2085139929050059
6,sequence_attention,8,0.585178381119012,11662,2537,2481,7137,1541,1516,test,0.5899507466195194,0.22800791970165432,0.6187168872139226,0.23439208701890915,0.5781030619865573,0.10738906469522595,0.083031035872632,0.5888941204756515,0.09559462402538149,0.06972994760177348,0.5641569079357169,0.3396483021014797,0.2966545747682386,0.5344274596260093,0.05772483358299125,0.051592099959693674,0.6333063161823017,0.4610060200829996,0.3353486497380089,0.6408166135108796,0.3066846737218478,0.21080209592906085
6,latest_mlp,5,0.5746300273173753,11662,2537,2481,7137,1541,1516,val,0.5746300273173753,0.2200522477281266,0.5953060059430298,0.23598851246381217,0.5193031086936406,0.09375589929503514,0.0843515963736697,0.5536278483950978,0.09501351901871058,0.07843910130074892,0.5609861598335804,0.3345418904237868,0.28182893180922347,0.5565083176127594,0.06534028339504774,0.05360662199448167,0.6284389181339626,0.42904308686274756,0.3102089081592432,0.6289158112352105,0.30261880737343183,0.2085139929050059
6,latest_mlp,5,0.5746300273173753,11662,2537,2481,7137,1541,1516,test,0.5807565441034023,0.22783541901235052,0.6004231614212454,0.24700755827586968,0.5572548810412887,0.10045621415814254,0.083031035872632,0.5755815409583154,0.08678451869760577,0.06972994760177348,0.5590051544786346,0.3516839970636564,0.2966545747682386,0.5323672572248194,0.06150081269432281,0.051592099959693674,0.6248305354060735,0.46626970269108564,0.3353486497380089,0.6354998955112819,0.3003172687692901,0.21080209592906085
8,single_mlp,6,0.5780452356855096,13106,2843,2800,6710,1456,1453,val,0.5780452356855096,0.22919491431431938,0.5949738846107636,0.23971585014183452,0.5504328901551123,0.10205698470237103,0.08547309180443194,0.5546651387827859,0.09177961836344417,0.07914175167077031,0.5561671043496634,0.3270941077360483,0.2877242349630672,0.5576338445333235,0.06295719052603088,0.049947238832219486,0.6243698390191008,0.44962682182819835,0.3341540626099191,0.6250025972730711,0.3416547627298237,0.2328526204713331
8,single_mlp,6,0.5780452356855096,13106,2843,2800,6710,1456,1453,test,0.5689119758555671,0.22208186591369247,0.5906697056297093,0.23613839390346772,0.541831401086133,0.09533990051659604,0.08785714285714286,0.5905876751622308,0.0914986760117274,0.07,0.5469736448366214,0.338598955179838,0.29928571428571427,0.5041429296944002,0.05278956979454175,0.04857142857142857,0.6208311298239905,0.4561594799078631,0.3442857142857143,0.6091050745300267,0.2981046140715884,0.22392857142857142
8,sequence_attention,6,0.587994819793895,11084,2405,2390,6710,1456,1453,val,0.587994819793895,0.22856745710219503,0.6061552679277458,0.23986000018897524,0.554193218024579,0.10112782961108854,0.08648648648648649,0.5668634206958879,0.09613002270051807,0.07983367983367984,0.5623187913766763,0.3332169186918045,0.28482328482328484,0.5693660185967878,0.07301369531876453,0.05405405405405406,0.6330240933988287,0.44542636908161115,0.3239085239085239,0.6422033766706102,0.3224899072093831,0.2158004158004158
8,sequence_attention,6,0.587994819793895,11084,2405,2390,6710,1456,1453,test,0.5737162653388316,0.22839358526104866,0.5991399350516471,0.24749498854133475,0.5373528230981355,0.0969091455537884,0.08744769874476988,0.6131634956465656,0.09734989280520451,0.07322175732217573,0.5444858666493543,0.3371960071571253,0.300836820083682,0.49562159964103425,0.05472709642427319,0.052719665271966525,0.6285946435104068,0.46848771193543304,0.3493723849372385,0.6230791634874925,0.3156916576904675,0.21841004184100418
8,latest_mlp,9,0.5744313923822293,11084,2405,2390,6710,1456,1453,val,0.5744313923822293,0.22562809775615403,0.6023040514907778,0.2395020413562399,0.5333573316760618,0.10012875444221331,0.08648648648648649,0.549871027263142,0.09622527072733839,0.07983367983367984,0.5586657613308437,0.3286516208986364,0.28482328482328484,0.5423448858833474,0.06358331167980086,0.05405405405405406,0.6310247312999446,0.43780041357092375,0.3239085239085239,0.6313246168400363,0.32737921521801155,0.2158004158004158
8,latest_mlp,9,0.5744313923822293,11084,2405,2390,6710,1456,1453,test,0.5692250704930574,0.2281086946888752,0.5963534192371825,0.24601001327328298,0.5464713741337213,0.09828623154790371,0.08744769874476988,0.5918787487907127,0.09960087277519449,0.07322175732217573,0.5354617632542038,0.3330635004778323,0.300836820083682,0.5000841325929665,0.058153583015771705,0.052719665271966525,0.6268144097656776,0.473201932770882,0.3493723849372385,0.6146399944210622,0.3063460475456673,0.21841004184100418
10,single_mlp,9,0.5807139713783461,12940,2821,2814,6556,1447,1441,val,0.5807139713783461,0.23165430471754536,0.6097402439787901,0.2530521684556347,0.5603284119785132,0.10471472634771323,0.08543069833392414,0.5719289515961945,0.10154498923664504,0.0804679191775966,0.5452694065044131,0.3115801100720297,0.2889046437433534,0.5630067345477918,0.08366883631212185,0.05459057071960298,0.6278910011968715,0.466422283590179,0.34420418291386035,0.6158593224462924,0.32199488274658344,0.2272243885147111
