n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
10,single_mlp,7,0.5925146140455352,12940,2821,2814,6556,1447,1441,val,0.5925146140455352,0.24644975564900454,0.6113222498327657,0.26760833321192556,0.5904094936642598,0.11849851077299187,0.09201985490645284,0.5754433525358635,0.10209398789441029,0.08218682114409848,0.5564270063853762,0.33440431562814216,0.2936936936936937,0.5656154779161613,0.09038807108106764,0.055236728837876614,0.6306498629754403,0.47357735389283545,0.3542502736227654,0.6365424907961097,0.35973629462457984,0.24653846153846154
10,single_mlp,7,0.5925146140455352,12940,2821,2814,6556,1447,1441,test,0.5722997255441463,0.2359697930415332,0.6035643585916672,0.2597535858494797,0.5328355679131347,0.10259526260077408,0.0973622963537626,0.5666831100528649,0.09585379232865442,0.07342784442021083,0.569714183194807,0.3517398077448387,0.3,0.5346907284914718,0.05668217229571965,0.04865831842576029,0.5997526311556775,0.467118674047058,0.36568265682656825,0.6301221324569214,0.3418290492321542,0.24282389449185415
10,sequence_attention,6,0.5925622873787139,10940,2400,2411,6556,1447,1441,val,0.5925622873787139,0.24341810741834846,0.6123556194958965,0.2648570023459819,0.5678926058035284,0.1146494756629867,0.09196949304620906,0.578981402698432,0.1016724064642463,0.08067940552016985,0.5584951781001837,0.33840479326101125,0.2931692829868477,0.5735192853856284,0.08392474319266012,0.059343434343434344,0.630896600887852,0.46606271966187135,0.34704370179948585,0.6455886513966584,0.3557945062673151,0.2275395033860045
10,sequence_attention,6,0.5925622873787139,10940,2400,2411,6556,1447,1441,test,0.5777949360462281,0.23977696036678156,0.6052927640102447,0.26433174153317945,0.5240337577690029,0.10369710535888813,0.09620596205962059,0.5963667904424877,0.10209833190638157,0.07597623089983022,0.5590179722479625,0.3468840175459527,0.30453197797543413,0.54644558319099,0.06733361326282855,0.05302713987473904,0.6096762431503461,0.47444864240680035,0.37219343696027635,0.6312292694765796,0.34420005171983814,0.23715058611361586
10,latest_mlp,6,0.590345807523498,10940,2400,2411,6556,1447,1441,val,0.590345807523498,0.241207297864364,0.6061128529641474,0.258508173681391,0.5642352742697387,0.11198270629740711,0.09196949304620906,0.5905287468092866,0.1009491004205566,0.08067940552016985,0.5621908676639975,0.3412032447047996,0.2931692829868477,0.5565678201405746,0.08248643060906985,0.059343434343434344,0.632299666245423,0.46786848100638834,0.34704370179948585,0.6362524700119674,0.3427538241479623,0.2275395033860045
10,latest_mlp,6,0.590345807523498,10940,2400,2411,6556,1447,1441,test,0.5712447506611581,0.2371607381904222,0.5966358212970336,0.2587740139828657,0.5257805369615661,0.10093394889082045,0.09620596205962059,0.5900347205292507,0.09880145074960074,0.07597623089983022,0.5663227449140182,0.3601355044867718,0.30453197797543413,0.5171141801719229,0.06118274303377284,0.05302713987473904,0.6064680360123446,0.47380336667511697,0.37219343696027635,0.6217482853778461,0.32810741530645054,0.23715058611361586
12,single_mlp,2,0.592099372549363,13086,2850,2877,6545,1426,1439,val,0.592099372549363,0.24732022039398574,0.5907883664536131,0.2540528083353596,0.5833769337429182,0.11928079503729737,0.09114977307110439,0.591618931438068,0.10313560004808442,0.07882479398065209,0.5604980786997243,0.33802143164400017,0.289126559714795,0.5573312652624096,0.07731182472780715,0.05778092874867068,0.6204816353308586,0.4799689244112759,0.3713460844460484,0.6392893908221988,0.3662027464954496,0.25559347743648086
12,single_mlp,2,0.592099372549363,13086,2850,2877,6545,1426,1439,test,0.5754575375910217,0.2347633628940039,0.577515831655,0.2446047610374499,0.5444065520238064,0.11061052103684962,0.09599395313681028,0.5821156631605062,0.09459700846037533,0.07511569953720185,0.5524791661900468,0.33433678961801894,0.29465864874425185,0.5636902899457655,0.07110652506304359,0.04928346731911919,0.5946300966792769,0.4697996681753386,0.38138355668236146,0.6154234575467279,0.32812966501039725,0.24725897920604914
12,sequence_attention,4,0.5938411181221661,11147,2443,2486,6545,1426,1439,val,0.5938411181221661,0.24519493151388735,0.6066703000079063,0.25321814845773294,0.570539826985732,0.11090770568643672,0.09114927344782034,0.6044579474170649,0.1066875164473711,0.07682672233820459,0.5697582193303292,0.3388176318584861,0.29029571012078303,0.5512246063765218,0.08946048627217812,0.06118230673832162,0.6288490020182176,0.4829431141545908,0.3636746734091867,0.638217106605131,0.3423531346642611,0.2338638373121132
12,sequence_attention,4,0.5938411181221661,11147,2443,2486,6545,1426,1439,test,0.5814441872479034,0.2399670452967707,0.5979531337937607,0.2520625312612607,0.535546030958875,0.1047607705924162,0.09519650655021834,0.6030064961622232,0.1055819824479994,0.0775257731958763,0.567652352625801,0.3502445567049796,0.3017630176301763,0.5480453745198464,0.06246659959749881,0.05180089032780251,0.6020393133552931,0.4790029758583013,0.3873949579831933,0.6323755558653813,0.33774538657942893,0.2413793103448276
12,latest_mlp,4,0.5879682613422603,11147,2443,2486,6545,1426,1439,val,0.5879682613422603,0.24491969705969888,0.5951613754438047,0.25821599107255744,0.5500552372392615,0.10478755309706111,0.09114927344782034,0.602207588539516,0.1028475410194632,0.07682672233820459,0.5570153946154208,0.3311177414765348,0.29029571012078303,0.5507842717221846,0.08331859628732372,0.06118230673832162,0.6233587592949283,0.4857969795183463,0.3636746734091867,0.6443883166422509,0.3616497709594641,0.2338638373121132
12,latest_mlp,4,0.5879682613422603,11147,2443,2486,6545,1426,1439,test,0.5776262799262611,0.23972356165642528,0.5871662835553549,0.25196987479522936,0.527982315539655,0.10205938118132221,0.09519650655021834,0.5943001645440797,0.10478879557444437,0.0775257731958763,0.5611744140774592,0.3495941460222488,0.3017630176301763,0.5483638097524541,0.06537370890578856,0.05180089032780251,0.6014672582118553,0.476983429455732,0.3873949579831933,0.6324697174320633,0.3395419087990158,0.2413793103448276
